"동별,""독거노인별"",""성별"",""항목"",""단위"",""2019 년"",""2020 년"",""2021 년"",""2022 년"",""2023 년"","
"부암동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""22"",""27"",""41"",""40"",""29"","
"부암동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""12"",""8"",""20"",""16"",""12"","
"부암동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""3"",""3"",""6"",""3"",""-"","
"부암동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""9"",""5"",""14"",""13"",""12"","
"부암동,""일   반"",""계"",""독거노인현황(성별)"","""",""297"",""437"",""337"",""385"",""402"","
"부암동,""일   반"",""남"",""독거노인현황(성별)"","""",""95"",""147"",""119"",""145"",""142"","
"부암동,""일   반"",""여"",""독거노인현황(성별)"","""",""202"",""290"",""218"",""240"",""260"","
"평창동,""합계"",""계"",""독거노인현황(성별)"","""",""640"",""754"",""703"",""794"",""834"","
"평창동,""합계"",""남"",""독거노인현황(성별)"","""",""165"",""200"",""197"",""214"",""226"","
"평창동,""합계"",""여"",""독거노인현황(성별)"","""",""475"",""554"",""506"",""580"",""608"","
"평창동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""45"",""44"",""48"",""56"",""59"","
"평창동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""9"",""10"",""10"",""15"",""18"","
"평창동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""36"",""34"",""38"",""41"",""41"","
"평창동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""26"",""15"",""22"",""22"",""35"","
"평창동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""2"",""2"",""5"",""5"",""9"","
"평창동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""24"",""13"",""17"",""17"",""26"","
"평창동,""일   반"",""계"",""독거노인현황(성별)"","""",""569"",""695"",""633"",""716"",""740"","
"평창동,""일   반"",""남"",""독거노인현황(성별)"","""",""154"",""188"",""182"",""194"",""199"","
"평창동,""일   반"",""여"",""독거노인현황(성별)"","""",""415"",""507"",""451"",""522"",""541"","
"무악동,""합계"",""계"",""독거노인현황(성별)"","""",""265"",""334"",""291"",""327"",""436"","
"무악동,""합계"",""남"",""독거노인현황(성별)"","""",""73"",""102"",""84"",""88"",""111"","
"무악동,""합계"",""여"",""독거노인현황(성별)"","""",""192"",""232"",""207"",""239"",""325"","
"무악동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""57"",""62"",""59"",""88"",""81"","
"무악동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""16"",""15"",""14"",""23"",""23"","
"무악동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""41"",""47"",""45"",""65"",""58"","
"무악동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""17"",""11"",""11"",""20"",""32"","
"무악동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""2"",""2"",""2"",""2"",""4"","
"무악동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""15"",""9"",""9"",""18"",""28"","
"무악동,""일   반"",""계"",""독거노인현황(성별)"","""",""191"",""261"",""221"",""219"",""323"","
"무악동,""일   반"",""남"",""독거노인현황(성별)"","""",""55"",""85"",""68"",""63"",""84"","
"무악동,""일   반"",""여"",""독거노인현황(성별)"","""",""136"",""176"",""153"",""156"",""239"","
"교남동,""합계"",""계"",""독거노인현황(성별)"","""",""1650"",""503"",""414"",""444"",""577"","
"교남동,""합계"",""남"",""독거노인현황(성별)"","""",""675"",""147"",""120"",""126"",""175"","
"교남동,""합계"",""여"",""독거노인현황(성별)"","""",""975"",""356"",""294"",""318"",""402"","
"교남동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""68"",""89"",""79"",""55"",""119"","
"교남동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""30"",""37"",""31"",""26"",""47"","
"교남동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""38"",""52"",""48"",""29"",""72"","
"교남동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""25"",""49"",""14"",""18"",""28"","
"교남동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""4"",""12"",""3"",""6"",""13"","
"교남동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""21"",""37"",""11"",""12"",""15"","
"교남동,""일   반"",""계"",""독거노인현황(성별)"","""",""1557"",""365"",""321"",""371"",""430"","
"교남동,""일   반"",""남"",""독거노인현황(성별)"","""",""641"",""98"",""86"",""94"",""115"","
"교남동,""일   반"",""여"",""독거노인현황(성별)"","""",""916"",""267"",""235"",""277"",""315"","
"가회동,""합계"",""계"",""독거노인현황(성별)"","""",""216"",""296"",""243"",""248"",""251"","
"가회동,""합계"",""남"",""독거노인현황(성별)"","""",""61"",""84"",""65"",""72"",""71"","
"가회동,""합계"",""여"",""독거노인현황(성별)"","""",""155"",""212"",""178"",""176"",""180"","
"가회동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""15"",""18"",""22"",""19"",""19"","
"가회동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""4"",""6"",""8"",""5"",""5"","
"가회동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""11"",""12"",""14"",""14"",""14"","
"가회동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""13"",""4"",""3"",""8"",""10"","
"가회동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""2"",""0"",""0"",""1"",""2"","
"가회동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""11"",""4"",""3"",""7"",""8"","
"가회동,""일   반"",""계"",""독거노인현황(성별)"","""",""188"",""274"",""218"",""221"",""222"","
"가회동,""일   반"",""남"",""독거노인현황(성별)"","""",""55"",""78"",""57"",""66"",""64"","
"가회동,""일   반"",""여"",""독거노인현황(성별)"","""",""133"",""196"",""161"",""155"",""158"","
"종로1.2.3.4가동,""합계"",""계"",""독거노인현황(성별)"","""",""781"",""1285"",""1215"",""1111"",""1489"","
"종로1.2.3.4가동,""합계"",""남"",""독거노인현황(성별)"","""",""599"",""761"",""748"",""757"",""1078"","
"종로1.2.3.4가동,""합계"",""여"",""독거노인현황(성별)"","""",""182"",""524"",""467"",""354"",""411"","
"종로1.2.3.4가동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""298"",""341"",""372"",""404"",""426"","
"종로1.2.3.4가동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""230"",""265"",""286"",""327"",""344"","
"종로1.2.3.4가동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""68"",""76"",""86"",""77"",""82"","
"종로1.2.3.4가동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""38"",""24"",""35"",""19"",""21"","
"종로1.2.3.4가동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""24"",""14"",""25"",""13"",""13"","
"종로1.2.3.4가동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""14"",""10"",""10"",""6"",""8"","
"종로1.2.3.4가동,""일   반"",""계"",""독거노인현황(성별)"","""",""445"",""920"",""808"",""688"",""1042"","
"종로1.2.3.4가동,""일   반"",""남"",""독거노인현황(성별)"","""",""345"",""482"",""437"",""417"",""721"","
"종로1.2.3.4가동,""일   반"",""여"",""독거노인현황(성별)"","""",""100"",""438"",""371"",""271"",""321"","
"종로5.6가동,""합계"",""계"",""독거노인현황(성별)"","""",""508"",""501"",""446"",""489"",""616"","
"종로5.6가동,""합계"",""남"",""독거노인현황(성별)"","""",""249"",""241"",""227"",""249"",""336"","
"종로5.6가동,""합계"",""여"",""독거노인현황(성별)"","""",""259"",""260"",""219"",""240"",""280"","
"종로5.6가동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""72"",""100"",""101"",""124"",""133"","
"종로5.6가동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""46"",""64"",""65"",""82"",""87"","
"종로5.6가동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""26"",""36"",""36"",""42"",""46"","
"종로5.6가동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""25"",""30"",""30"",""32"",""24"","
"종로5.6가동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""7"",""10"",""10"",""13"",""9"","
"종로5.6가동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""18"",""20"",""20"",""19"",""15"","
"종로5.6가동,""일   반"",""계"",""독거노인현황(성별)"","""",""411"",""371"",""315"",""333"",""459"","
"종로5.6가동,""일   반"",""남"",""독거노인현황(성별)"","""",""196"",""167"",""152"",""154"",""240"","
"종로5.6가동,""일   반"",""여"",""독거노인현황(성별)"","""",""215"",""204"",""163"",""179"",""219"","
"이화동,""합계"",""계"",""독거노인현황(성별)"","""",""596"",""508"",""430"",""456"",""601"","
"이화동,""합계"",""남"",""독거노인현황(성별)"","""",""202"",""163"",""136"",""154"",""210"","
"이화동,""합계"",""여"",""독거노인현황(성별)"","""",""394"",""345"",""294"",""302"",""391"","
"이화동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""89"",""84"",""101"",""100"",""134"","
"이화동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""35"",""34"",""39"",""38"",""58"","
"이화동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""54"",""50"",""62"",""62"",""76"","
"이화동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""130"",""50"",""26"",""40"",""33"","
"이화동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""43"",""15"",""6"",""12"",""10"","
"이화동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""87"",""35"",""20"",""28"",""23"","
"이화동,""일   반"",""계"",""독거노인현황(성별)"","""",""377"",""374"",""303"",""316"",""434"","
"이화동,""일   반"",""남"",""독거노인현황(성별)"","""",""124"",""114"",""91"",""104"",""142"","
"이화동,""일   반"",""여"",""독거노인현황(성별)"","""",""253"",""260"",""212"",""212"",""292"","
"창신1동,""합계"",""계"",""독거노인현황(성별)"","""",""477"",""646"",""602"",""544"",""813"","
"창신1동,""합계"",""남"",""독거노인현황(성별)"","""",""239"",""330"",""309"",""278"",""427"","
"창신1동,""합계"",""여"",""독거노인현황(성별)"","""",""238"",""316"",""293"",""266"",""386"","
"창신1동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""184"",""212"",""208"",""201"",""234"","
"창신1동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""134"",""139"",""147"",""138"",""148"","
"창신1동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""50"",""73"",""61"",""63"",""86"","
"창신1동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""21"",""29"",""9"",""15"",""37"","
"창신1동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""10"",""15"",""2"",""5"",""14"","
"창신1동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""11"",""14"",""7"",""10"",""23"","
"창신1동,""일   반"",""계"",""독거노인현황(성별)"","""",""272"",""405"",""385"",""328"",""542"","
"창신1동,""일   반"",""남"",""독거노인현황(성별)"","""",""95"",""176"",""160"",""135"",""265"","
"창신1동,""일   반"",""여"",""독거노인현황(성별)"","""",""177"",""229"",""225"",""193"",""277"","
"창신2동,""합계"",""계"",""독거노인현황(성별)"","""",""496"",""631"",""587"",""659"",""951"","
"창신2동,""합계"",""남"",""독거노인현황(성별)"","""",""164"",""238"",""210"",""244"",""380"","
"창신2동,""합계"",""여"",""독거노인현황(성별)"","""",""332"",""393"",""377"",""415"",""571"","
"창신2동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""129"",""147"",""147"",""209"",""251"","
"창신2동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""54"",""62"",""62"",""91"",""116"","
"창신2동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""75"",""85"",""85"",""118"",""135"","
"창신2동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""22"",""16"",""16"",""34"",""26"","
"창신2동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""11"",""4"",""4"",""12"",""6"","
"창신2동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""11"",""12"",""12"",""22"",""20"","
"창신2동,""일   반"",""계"",""독거노인현황(성별)"","""",""345"",""468"",""424"",""416"",""674"","
"창신2동,""일   반"",""남"",""독거노인현황(성별)"","""",""99"",""172"",""144"",""141"",""258"","
"창신2동,""일   반"",""여"",""독거노인현황(성별)"","""",""246"",""296"",""280"",""275"",""416"","
"창신3동,""합계"",""계"",""독거노인현황(성별)"","""",""328"",""326"",""285"",""309"",""404"","
"창신3동,""합계"",""남"",""독거노인현황(성별)"","""",""114"",""123"",""95"",""97"",""142"","
"창신3동,""합계"",""여"",""독거노인현황(성별)"","""",""214"",""203"",""190"",""212"",""262"","
"창신3동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""47"",""60"",""60"",""77"",""85"","
"창신3동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""20"",""24"",""24"",""35"",""41"","
"창신3동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""27"",""36"",""36"",""42"",""44"","
"창신3동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""25"",""16"",""16"",""7"",""11"","
"창신3동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""10"",""7"",""7"",""1"",""2"","
"창신3동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""15"",""9"",""9"",""6"",""9"","
"창신3동,""일   반"",""계"",""독거노인현황(성별)"","""",""256"",""250"",""209"",""225"",""308"","
"창신3동,""일   반"",""남"",""독거노인현황(성별)"","""",""84"",""92"",""64"",""61"",""99"","
"창신3동,""일   반"",""여"",""독거노인현황(성별)"","""",""172"",""158"",""145"",""164"",""209"","
"숭인1동,""합계"",""계"",""독거노인현황(성별)"","""",""481"",""433"",""378"",""406"",""558"","
"숭인1동,""합계"",""남"",""독거노인현황(성별)"","""",""176"",""162"",""139"",""153"",""212"","
"숭인1동,""합계"",""여"",""독거노인현황(성별)"","""",""305"",""271"",""239"",""253"",""346"","
"숭인1동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""74"",""104"",""104"",""116"",""133"","
"숭인1동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""27"",""42"",""42"",""51"",""56"","
"숭인1동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""47"",""62"",""62"",""65"",""77"","
"숭인1동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""37"",""18"",""18"",""25"",""14"","
"숭인1동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""16"",""4"",""4"",""9"",""4"","
"숭인1동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""21"",""14"",""14"",""16"",""10"","
"숭인1동,""일   반"",""계"",""독거노인현황(성별)"","""",""370"",""311"",""256"",""265"",""411"","
"숭인1동,""일   반"",""남"",""독거노인현황(성별)"","""",""133"",""116"",""93"",""93"",""152"","
"숭인1동,""일   반"",""여"",""독거노인현황(성별)"","""",""237"",""195"",""163"",""172"",""259"","
"숭인2동,""합계"",""계"",""독거노인현황(성별)"","""",""626"",""722"",""660"",""711"",""954"","
"숭인2동,""합계"",""남"",""독거노인현황(성별)"","""",""319"",""354"",""340"",""352"",""510"","
"숭인2동,""합계"",""여"",""독거노인현황(성별)"","""",""307"",""368"",""320"",""359"",""444"","
"숭인2동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""125"",""160"",""223"",""218"",""229"","
"숭인2동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""80"",""106"",""138"",""136"",""146"","
"숭인2동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""45"",""54"",""85"",""82"",""83"","
"숭인2동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""27"",""23"",""58"",""37"",""25"","
"숭인2동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""10"",""9"",""26"",""16"",""9"","
"숭인2동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""17"",""14"",""32"",""21"",""16"","
"숭인2동,""일   반"",""계"",""독거노인현황(성별)"","""",""474"",""539"",""379"",""456"",""700"","
"숭인2동,""일   반"",""남"",""독거노인현황(성별)"","""",""229"",""239"",""176"",""200"",""355"","
"숭인2동,""일   반"",""여"",""독거노인현황(성별)"","""",""245"",""300"",""203"",""256"",""345"","
"청운효자동,""합계"",""계"",""독거노인현황(성별)"","""",""476"",""604"",""514"",""549"",""641"","
"청운효자동,""합계"",""남"",""독거노인현황(성별)"","""",""140"",""172"",""144"",""165"",""180"","
"청운효자동,""합계"",""여"",""독거노인현황(성별)"","""",""336"",""432"",""370"",""384"",""461"","
"청운효자동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""53"",""55"",""71"",""72"",""98"","
"청운효자동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""12"",""8"",""12"",""13"",""29"","
"청운효자동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""41"",""47"",""59"",""59"",""69"","
"청운효자동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""32"",""34"",""23"",""23"",""34"","
"청운효자동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""8"",""8"",""10"",""5"",""9"","
"청운효자동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""24"",""26"",""13"",""18"",""25"","
"청운효자동,""일   반"",""계"",""독거노인현황(성별)"","""",""391"",""515"",""420"",""454"",""509"","
"청운효자동,""일   반"",""남"",""독거노인현황(성별)"","""",""120"",""156"",""122"",""147"",""142"","
"청운효자동,""일   반"",""여"",""독거노인현황(성별)"","""",""271"",""359"",""298"",""307"",""367"","
"혜화동,""합계"",""계"",""독거노인현황(성별)"","""",""657"",""786"",""708"",""766"",""846"","
"혜화동,""합계"",""남"",""독거노인현황(성별)"","""",""201"",""242"",""208"",""239"",""278"","
"혜화동,""합계"",""여"",""독거노인현황(성별)"","""",""456"",""544"",""500"",""527"",""568"","
"혜화동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""80"",""75"",""106"",""128"",""115"","
"혜화동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""21"",""25"",""42"",""50"",""49"","
"혜화동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""59"",""50"",""64"",""78"",""66"","
"혜화동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""53"",""29"",""20"",""19"",""37"","
"혜화동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""21"",""13"",""10"",""8"",""16"","
"혜화동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""32"",""16"",""10"",""11"",""21"","
"혜화동,""일   반"",""계"",""독거노인현황(성별)"","""",""524"",""682"",""582"",""619"",""694"","
"혜화동,""일   반"",""남"",""독거노인현황(성별)"","""",""159"",""204"",""156"",""181"",""213"","
"혜화동,""일   반"",""여"",""독거노인현황(성별)"","""",""365"",""478"",""426"",""438"",""481"","
"중구,""합계"",""계"",""독거노인현황(성별)"","""",""6323"",""7117"",""7553"",""7425"",""7987"","
"중구,""합계"",""남"",""독거노인현황(성별)"","""",""2427"",""2826"",""3028"",""2932"",""3237"","
"중구,""합계"",""여"",""독거노인현황(성별)"","""",""3896"",""4291"",""4525"",""4493"",""4750"","
"중구,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""1447"",""1872"",""2168"",""2392"",""2553"","
"중구,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""680"",""889"",""1028"",""1133"",""1220"","
"중구,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""767"",""983"",""1140"",""1259"",""1333"","
"중구,""저소득노인"",""계"",""독거노인현황(성별)"","""",""325"",""308"",""265"",""366"",""324"","
"중구,""저소득노인"",""남"",""독거노인현황(성별)"","""",""84"",""75"",""67"",""116"",""105"","
"중구,""저소득노인"",""여"",""독거노인현황(성별)"","""",""241"",""233"",""198"",""250"",""219"","
"중구,""일   반"",""계"",""독거노인현황(성별)"","""",""4551"",""4937"",""5120"",""4667"",""5110"","
"중구,""일   반"",""남"",""독거노인현황(성별)"","""",""1663"",""1862"",""1933"",""1683"",""1912"","
"중구,""일   반"",""여"",""독거노인현황(성별)"","""",""2888"",""3075"",""3187"",""2984"",""3198"","
"소공동,""합계"",""계"",""독거노인현황(성별)"","""",""72"",""80"",""79"",""70"",""87"","
"소공동,""합계"",""남"",""독거노인현황(성별)"","""",""37"",""45"",""45"",""34"",""45"","
"소공동,""합계"",""여"",""독거노인현황(성별)"","""",""35"",""35"",""34"",""36"",""42"","
"소공동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""14"",""15"",""19"",""17"",""17"","
"소공동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""12"",""14"",""15"",""13"",""13"","
"소공동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""2"",""1"",""4"",""4"",""4"","
"소공동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""1"",""1"",""0"",""-"",""-"","
"소공동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""0"",""0"",""0"",""-"",""-"","
"소공동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""1"",""1"",""0"",""-"",""-"","
